country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Luxembourg,49M,50M,56M,60M,65M,83M,96M,114M,130M,158M,168M,184M,196M,218M,250M,285M,320M,355M,394M,429M,465M,510M,525M,530M,555M,580M,604M,623M,625M,632M,575M,601M,615M,646M,649M,661M,661M,634M,659M,659M,655M,663M,668M,685M,725M,728M,747M,749M,761M
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29B,1.3B,1.18B,863M,950M,1.16B,1.09B,1.08B,1.11B,1.15B,1.19B,1.24B,1.32B,1.42B,1.47B,1.57B,1.73B,1.79B,2.03B
Morocco,,,,,,,,,,,,485M,567M,579M,609M,630M,677M,751M,836M,902M,998M,1.05B,1.22B,1.33B,1.35B,1.49B,1.55B,1.75B,1.89B,1.99B,2.15B,2.43B,2.69B,2.81B,3.13B,3.31B,3.43B,3.61B,3.85B,3.95B,4.14B,3.94B,4.21B,4.65B,5.01B,5.56B,6.13B,6.55B,7.17B
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73B,1.84B,1.76B,1.85B,1.68B,1.86B,1.95B,1.77B,1.68B,1.22B,1.22B,1.43B,1.26B,1.49B,1.57B,1.69B,1.76B,1.29B,1.37B
Mexico,,,,,,,,,,,,6.9B,7.62B,8.65B,5.51B,6.06B,6.71B,7.36B,8.27B,9.21B,10B,11.2B,12.5B,13B,13.4B,14.3B,15.1B,15.7B,16.8B,18.8B,20.4B,22B,24.1B,25.5B,27.8B,28.5B,28.5B,29.7B,31.7B,33.4B,36.1B,38.1B,38.5B,40B,40.9B,46.1B,48.4B,49.9B,47.5B
Malta,,,,,,,,,,,,,,,,,,,,,,,,164M,198M,200M,203M,210M,242M,252M,262M,270M,280M,283M,382M,400M,433M,462M,500M,541M,559M,540M,570M,629M,615M,623M,659M,658M,645M
Myanmar,,,,,,,,,,,,116M,125M,131M,146M,148M,183M,214M,236M,259M,272M,265M,320M,341M,374M,409M,437M,481M,500M,571M,628M,658M,766M,883M,980M,1.03B,1.05B,1.21B,1.13B,1.11B,1.3B,1.25B,1.43B,1.61B,1.66B,1.46B,1.7B,1.55B,1.83B
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,432M,454M,459M,475M,478M,472M,452M,357M,406M,475M,557M,422M,442M,471M,498M,517M,536M,552M,598M,653M,710M,808M,839M,886M
Mozambique,,,,,,,,,,,,172M,173M,202M,245M,206M,234M,223M,243M,152M,156M,158M,216M,170M,133M,150M,176M,181M,181M,203M,222M,258M,252M,285M,260M,272M,258M,304M,337M,379M,392M,442M,414M,412M,448M,533M,577M,576M,634M
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2B,10.2B,10.3B,11.3B,12.6B,13.5B,14.5B,15.3B,16.2B,17.6B,18.6B,19.4B
Nigeria,,,,,,,,,,,,580M,638M,758M,902M,1.04B,1.36B,1.6B,2.22B,1.94B,2.13B,2.72B,3.02B,3.14B,2.86B,3.26B,4.18B,4.11B,3.89B,4.59B,3.95B,4.03B,4.34B,5.22B,5.04B,4.95B,4.54B,4.45B,4.38B,4.42B,4.43B,4.61B,7.72B,7.67B,9.56B,10.3B,7.83B,10.1B,10.2B
Nicaragua,,,,,,,,,,,,222M,246M,203M,260M,291M,329M,370M,384M,324M,377M,387M,403M,432M,445M,380M,376M,499M,490M,311M,369M,402M,433M,440M,401M,410M,421M,459M,450M,460M,448M,452M,470M,515M,541M,603M,643M,689M,733M
Netherlands,2.79B,3.1B,3.55B,4.04B,4.44B,5.02B,5.71B,6.23B,6.97B,7.75B,8.67B,9.33B,10B,11B,11.2B,12.4B,13.5B,13.6B,14.4B,15B,15.2B,15.2B,15B,15.3B,15.8B,16B,16.2B,16.6B,15.5B,16B,16.5B,17.1B,17.5B,17.9B,18.5B,19.7B,20B,20.4B,20.8B,21.4B,21.8B,22.1B,22.8B,23.3B,23.5B,24.2B,24.8B,24.3B,24.8B
Norway,8.13B,8.45B,9.53B,10.3B,11B,11.8B,12.8B,13.1B,14.5B,14.3B,15B,14.7B,15.3B,16B,16.7B,17.6B,18.9B,20.4B,20.9B,22.4B,22.5B,23.9B,25.1B,25.8B,28.2B,28.9B,29.9B,30.2B,29.3B,28.9B,30.3B,32.6B,32.7B,32.8B,34B,34.6B,35.3B,34B,35B,35B,34.6B,35.9B,34.6B,32B,32.4B,34B,33.6B,35B,34.5B
Nepal,,,,,,,,,,,,47M,61M,39M,51M,49M,71M,76M,84M,95M,79M,92M,120M,131M,158M,143M,165M,190M,197M,236M,266M,280M,265M,280M,307M,335M,362M,385M,418M,475M,535M,594M,627M,677M,773M,820M,806M,893M,931M
New Zealand,2.45B,2.67B,2.86B,3.21B,3.44B,3.79B,4.05B,4.15B,5.87B,6.11B,6.42B,6.82B,7.38B,7.44B,7.55B,8.4B,8.4B,8.31B,8.18B,7.91B,8.04B,8.27B,8.73B,8.98B,9B,9.08B,9.43B,9.43B,9.51B,9.83B,10.3B,10.5B,10.1B,10.3B,10.4B,10.7B,10.9B,11B,11.2B,11.2B,11.3B,11.6B,11.7B,12.1B,12.3B,12.2B,12.7B,12.4B,12.4B
Oman,,,,,,,,,,,,6M,10M,21M,42M,71M,123M,188M,217M,278M,379M,484M,609M,747M,931M,1.15B,1.47B,1.57B,1.75B,1.82B,2.08B,2.19B,2.5B,2.87B,3.08B,3.13B,3.04B,3.25B,3.67B,3.79B,3.97B,4.23B,4.42B,4.63B,4.96B,4.76B,5.79B,6.16B,7.03B
Pakistan,,,,,,,,,,,,635M,635M,635M,740M,852M,943M,1.13B,1.3B,1.71B,2.36B,2.7B,3.22B,3.75B,4.54B,5.08B,5.85B,6.81B,7.9B,8.68B,9.36B,10.4B,13.2B,14.1B,15.6B,17.1B,17.8B,18.8B,19.4B,21.5B,22.8B,23.2B,23.6B,25.9B,27.6B,30.7B,33.3B,33.7B,32.3B
Panama,,,,,,,,,,,,255M,301M,337M,343M,361M,393M,403M,413M,445M,457M,475M,499M,528M,522M,560M,607M,663M,655M,614M,637M,673M,716M,750M,789M,848M,863M,937M,1B,1.04B,1.12B,1.16B,1.26B,1.34B,1.44B,1.5B,1.53B,1.6B,1.65B
Peru,,,,,,,,,,,,1.5B,1.78B,1.81B,2.05B,2.44B,2.42B,2.73B,2.69B,2.84B,3.01B,3.23B,3.48B,3.64B,3.64B,3.73B,3.96B,4.3B,4.27B,4.09B,4.27B,4.86B,4.34B,4.56B,4.74B,4.93B,5.39B,5.67B,4.69B,4.73B,5.04B,5.28B,5.61B,5.9B,6.41B,7B,7.88B,6.39B,6.95B
Philippines,,,,,,,,,,,,,,,,1.52B,1.59B,1.78B,2.54B,2.46B,2.94B,3.42B,3.59B,3.99B,4.2B,4.48B,3.54B,4.7B,5.11B,5.16B,5.61B,6.25B,6.05B,6.37B,7.28B,8.22B,9.15B,10.5B,11.9B,11.9B,12.9B,13.6B,13.7B,15.4B,15.9B,16B,15.8B,16.4B,16.6B
Poland,2B,2.2B,2.41B,2.41B,2.42B,2.62B,2.89B,3.19B,3.48B,3.79B,4.14B,4.53B,5.01B,5.48B,6.13B,6.95B,7.92B,8.52B,9.18B,9.91B,10.7B,12.2B,12.6B,11.9B,14.2B,14.9B,15.7B,17.1B,17.8B,18.8B,20.2B,20.2B,18.9B,18.2B,18.2B,18.1B,19.2B,19.8B,20.3B,20.8B,21B,21.4B,21.7B,24.9B,25.5B,25.3B,26.5B,26.4B,27.1B
Portugal,461M,506M,558M,618M,676M,749M,785M,853M,934M,1.05B,1.22B,1.42B,1.53B,1.67B,1.84B,2.04B,2.35B,2.59B,2.81B,3.04B,3.28B,3.52B,3.75B,3.68B,4.08B,4.45B,4.69B,4.91B,5.11B,5.67B,5.92B,6.6B,6.8B,7.12B,7.4B,7.87B,8.44B,8.43B,8.79B,9.53B,10.1B,10.6B,11.4B,11.8B,12.4B,13.2B,13.4B,13.9B,13.4B
Paraguay,,,,,,,,,,,,85M,94M,116M,132M,154M,176M,208M,240M,276M,347M,394M,437M,494M,544M,568M,645M,709M,808M,838M,983M,1.12B,1.28B,1.54B,1.89B,2.19B,2.32B,2.48B,2.56B,2.76B,2.88B,2.91B,2.8B,2.6B,2.66B,3.14B,3.4B,3.35B,3.61B
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,1.5B,1.5B,1.5B,1.51B,1.98B,2.46B,2.93B,3.16B,3.81B,3.31B,3.05B,3.63B,3.68B,4.33B,3.97B,3.51B,3.05B,2.59B,2.12B,2.15B,3.08B,3.56B,3.99B,4.42B
Romania,,,,,,,,,,,,2.51B,2.89B,3.18B,3.26B,3.72B,4.26B,4.8B,5.38B,5.38B,4.89B,5.13B,5.05B,5B,4.79B,4.82B,4.99B,4.81B,4.48B,4.3B,5.36B,6.75B,7.6B,7.02B,6.65B,7.12B,8.12B,7.95B,7.92B,7.88B,7.65B,7.72B,7.77B,8.24B,8.04B,9.24B,10B,10.4B,10.4B
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107B,116B,116B,121B,126B,126B,132B,133B,135B,140B,141B,143B,143B,142B,143B,109B,113B,116B,117B
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,14.8B,16.9B,19.5B,21.1B,24.1B,25.4B,26.9B,29B,29.9B,34B,38.5B,40.5B,42.2B,43.3B,45.4B,51B,53.6B,56.1B,61.4B,65.5B,70.4B,73.4B,78.3B,86B,89.9B,96.7B
Sudan,,,,,,,,,,,,58M,65M,100M,140M,151M,148M,155M,167M,171M,223M,228M,290M,283M,522M,567M,737M,718M,551M,541M,728M,665M,701M,704M,747M,780M,774M,664M,580M,958M,761M,1.06B,1.38B,1.43B,1.26B,1.54B,1.72B,1.9B,2.21B
Senegal,,,,,,,,,,,,61M,46M,51M,49M,52M,58M,64M,74M,84M,87M,92M,90M,103M,104M,109M,108M,118M,116M,125M,137M,139M,153M,167M,182M,190M,201M,232M,331M,327M,397M,469M,515M,579M,575M,690M,646M,783M,700M
Singapore,,,,,,,,,,,,462M,521M,576M,559M,643M,710M,779M,931M,945M,1.01B,1.09B,1.17B,1.31B,1.34B,1.46B,1.56B,1.73B,1.86B,1.95B,2.39B,2.66B,2.89B,3.13B,3.47B,3.83B,4.16B,4.74B,5.33B,5.34B,5.73B,5.99B,6.35B,6.51B,6.53B,6.75B,6.76B,6.82B,6.75B
El Salvador,,,,,,,,,,,,257M,258M,313M,336M,367M,401M,448M,505M,552M,384M,383M,400M,437M,461M,477M,511M,552M,592M,620M,651M,707M,750M,839M,912M,1B,1.06B,1.15B,1.2B,1.36B,1.32B,1.34B,1.37B,1.32B,1.75B,1.53B,1.59B,1.62B,1.81B
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7B,12.1B,12B,15.4B,16B,16.1B,16.5B,17.5B,17.1B,15.6B,16.3B,16.3B,16.3B,16.3B,13.6B,14.2B,14.1B,13.9B,14.1B
Slovak Republic,,,,,,,,,,,,1.35B,1.43B,1.54B,1.62B,1.62B,1.72B,1.82B,1.86B,2.07B,2.38B,2.44B,2.57B,2.66B,2.77B,2.95B,3.06B,3.21B,3.32B,3.59B,3.68B,3.8B,3.7B,4.14B,4.49B,5B,5.45B,5.51B,5.59B,5.67B,5.42B,5.22B,5.16B,5.04B,4.82B,4.7B,4.58B,4.6B,4.53B
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23B,2.43B,2.4B,2.49B,2.58B,2.55B,2.63B,2.68B,2.69B,2.39B,2.6B,2.67B,2.7B,3.01B,3.01B,2.95B,3.06B,3.02B,3.18B
Sweden,3.56B,3.68B,3.92B,4.02B,4.71B,5.72B,6.54B,7.47B,8.62B,8.71B,11.4B,13.2B,14.8B,15.8B,15.3B,17.3B,20.1B,21.4B,22.6B,24.2B,25.7B,27.2B,29.2B,31.5B,33.7B,39.7B,39.9B,40.7B,38.6B,38B,38.1B,41.2B,40.2B,41.8B,42.5B,42.4B,43.3B,42.6B,42.5B,40.2B,42B,42.2B,41.5B,42B,41.4B,42.7B,41.5B,39.6B,38.9B
Syria,,,,,,,,,,,,314M,337M,349M,430M,535M,651M,756M,919M,1.19B,1.34B,1.57B,1.93B,2.33B,2.6B,2.79B,2.71B,2.73B,3.28B,3.99B,4.07B,4.27B,4.92B,5B,5.25B,5.29B,5.84B,6.21B,6.74B,7.32B,7.83B,8.67B,9.65B,10.3B,12B,12.7B,14.7B,15.4B,16.1B
Togo,,,,,,,,,,,,57M,56M,51M,68M,71M,68M,105M,122M,79M,67M,73M,84M,79M,95M,99M,101M,111M,115M,126M,136M,133M,144M,112M,130M,132M,127M,162M,158M,197M,213M,228M,266M,273M,320M,318M,338M,334M,388M
Thailand,,,,,,,,,,,,795M,1.02B,1.5B,1.28B,1.49B,1.73B,2.01B,2.43B,2.74B,3.01B,3.17B,3.63B,4.19B,4.73B,5.17B,5.8B,6.14B,6.25B,7.03B,8.09B,9.15B,10.3B,11.9B,12.9B,14.6B,16.1B,17.7B,18.9B,18.3B,19.5B,21.1B,22.1B,23.5B,24.7B,25.6B,27B,28.1B,28.8B
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3B,1.1B,1.19B,1.39B,1.75B,2.02B,1.98B,2.37B,2.88B,3.24B,3.25B,2.88B,3.31B,3.01B,3.07B,3.16B,3.2B,3.21B,3.11B
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02B,1.03B,1.07B,1.28B,1.06B,1.05B,986M,819M,1.1B,1.01B,1.23B,1.3B,1.31B,1.32B,1.46B,1.57B,1.67B,1.82B,1.84B
Trinidad and Tobago,,,,,,,,,,,,160M,179M,199M,213M,235M,267M,311M,375M,416M,477M,579M,636M,737M,821M,793M,825M,852M,855M,835M,854M,838M,906M,936M,908M,1.01B,1.02B,1.01B,1.1B,1.15B,1.24B,1.28B,1.32B,1.51B,1.45B,1.59B,1.69B,2.3B,2.37B
Tunisia,,,,,,,,,,,,146M,166M,190M,215M,256M,290M,337M,386M,433M,493M,557M,581M,643M,649M,774M,834M,916M,927M,1.01B,1.09B,1.19B,1.33B,1.49B,1.62B,1.75B,1.84B,2.01B,2.06B,2.07B,2.19B,2.41B,2.51B,2.74B,2.74B,2.86B,2.97B,3.06B,3.38B
Turkey,460M,501M,562M,610M,712M,771M,809M,957M,1.06B,1.27B,1.48B,1.5B,1.54B,1.39B,1.5B,1.89B,2.32B,2.67B,2.95B,3.2B,3.5B,3.67B,3.85B,4.03B,4.31B,4.98B,5.66B,6.51B,7.61B,8.27B,9.06B,10.8B,11.5B,12.6B,13.4B,14.5B,16.4B,18.5B,20B,22.6B,23.9B,23.6B,23.6B,25.2B,27.6B,30.9B,34.5B,36.5B,39.6B
Taiwan,,,,,,,,,,,,2.74B,3.08B,3.52B,3.76B,4.38B,5.07B,5.68B,6.54B,7.03B,7.16B,7.28B,7.88B,8.99B,9.42B,10.1B,10.8B,11.9B,13.8B,14.8B,16.4B,18.2B,19.3B,21.8B,23.3B,25.3B,27.6B,27.9B,33B,32.5B,34.5B,35.7B,37.2B,39.1B,39.6B,42.3B,42.5B,43.1B,42.7B
Tanzania,,,,,,,,,,,,129M,141M,153M,159M,166M,175M,181M,183M,202M,208M,220M,215M,211M,222M,240M,277M,289M,328M,338M,446M,448M,553M,545M,585M,660M,927M,1.02B,1.06B,1.13B,1.19B,1.05B,1.12B,1.06B,1.16B,900M,871M,1.42B,1.5B
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2B,20B,33.1B,34.8B,34.8B,36B,32.9B,31.3B,31B,31.8B,30.1B,21.6B,21.8B,23.1B,24.2B,26.1B,27.7B,28.3B,31.1B
Uruguay,,,,,,,,,,,,906M,851M,871M,830M,870M,932M,1B,1.07B,1.06B,1.16B,1.29B,1.36B,1.4B,1.38B,1.41B,1.45B,1.58B,1.71B,1.56B,1.59B,1.77B,1.91B,2.15B,2.21B,2.32B,2.4B,2.46B,2.59B,2.78B,2.9B,2.89B,2.8B,2.61B,2.63B,2.69B,2.72B,2.92B,2.85B
United States,201B,214B,233B,251B,272B,291B,317B,340B,382B,427B,466B,495B,562B,579B,578B,588B,607B,645B,675B,683B,718B,722B,730B,751B,778B,794B,818B,850B,892B,906B,924B,956B,936B,995B,1.01TR,1.04TR,1.08TR,1.08TR,1.13TR,1.15TR,1.19TR,1.2TR,1.26TR,1.28TR,1.29TR,1.36TR,1.35TR,1.39TR,1.38TR
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54B,4.17B,6.19B,7.08B,6.89B,6.75B,7.13B,7.07B,7.04B,6.99B,7.22B,7.2B,7.38B,7.39B,7.48B,7.36B,7.62B,7.32B,7.39B
Venezuela,,,,,,,,,,,,2.09B,2.28B,2.52B,2.75B,3.07B,3.56B,4.11B,4.87B,5.54B,6.35B,7.03B,7.49B,8.1B,8.09B,7.79B,7.73B,8.5B,9.65B,9.69B,9.5B,10.7B,12.1B,13.4B,12.8B,12.4B,12.8B,13.5B,14.4B,15B,15.2B,16B,16.6B,16.6B,17B,18.7B,20.5B,21.6B,25.6B
Vietnam,,,,,,,,,,,,,,,,,,,,,934M,955M,1.03B,1.09B,1.24B,1.41B,1.58B,1.79B,1.96B,2.56B,2.3B,2.39B,2.54B,3.08B,3.96B,5.11B,6.28B,7.38B,9.01B,9.85B,11.1B,12.8B,14.6B,16B,18.2B,19.5B,21.6B,23.5B,26.1B
Yemen,,,,,,,,,,,,,,,,,,,,,98M,117M,144M,156M,182M,241M,285M,298M,382M,494M,606M,718M,830M,942M,1.05B,1.15B,1.14B,1.24B,1.32B,1.38B,1.48B,1.6B,1.77B,1.95B,2.09B,2B,2.48B,2.73B,2.99B
South Africa,,,,,,,,,,,,8.09B,8.39B,9.27B,9.77B,9.99B,10.5B,11.3B,11.7B,12.3B,13.5B,14.7B,14.6B,14.5B,15.7B,16.4B,17.6B,18.7B,19.6B,21.5B,22.4B,23.1B,19.4B,21.6B,22.1B,24.4B,29.6B,30.7B,30.2B,29.5B,28.7B,34.6B,30.4B,34.1B,36.2B,37B,39.7B,41.2B,40.3B
Zambia,,,,,,,,,,,,341M,366M,396M,424M,427M,447M,429M,428M,432M,437M,468M,469M,470M,461M,453M,498M,536M,698M,494M,580M,599M,615M,740M,821M,1B,1.05B,1.13B,1.06B,1.09B,1.14B,1.22B,1.3B,1.38B,1.46B,1.53B,1.66B,1.98B,2.02B
Zimbabwe,,,,,,,,,,,,651M,696M,732M,777M,820M,851M,849M,873M,890M,928M,991M,988M,927M,926M,1.22B,1.28B,1.3B,1.36B,1.45B,1.52B,1.54B,1.57B,1.57B,1.61B,1.67B,1.83B,1.99B,2.1B,2.23B,2.32B,2.35B,2.49B,2.73B,2.88B,3.46B,3.46B,3.69B,3.69B
