country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Botswana,,,,,,,,,,,,,,,,,,,,,,29M,33M,35M,40M,42M,43M,43M,58M,72M,79M,88M,97M,124M,149M,162M,174M,190M,174M,190M,206M,334M,367M,412M,537M,566M,573M,682M,745M
Canada,16.5B,18.7B,19.1B,20.1B,22.8B,25.5B,30B,31.9B,34.5B,38.5B,42.8B,49.1B,48B,52B,59.3B,64.1B,70.8B,76.6B,78.9B,80.2B,84.8B,87.3B,90.9B,95.9B,101B,104B,109B,112B,121B,130B,130B,129B,132B,132B,133B,132B,135B,135B,129B,133B,138B,140B,143B,148B,151B,151B,147B,153B,161B
Switzerland,3.46B,3.66B,4.04B,4.16B,4.52B,4.64B,4.74B,4.96B,5.3B,5.72B,6.03B,6.96B,6.53B,7.31B,7.23B,7.5B,7.86B,8.28B,8.78B,9.52B,10.1B,10.2B,9.97B,10.4B,11.4B,12B,12.3B,12.7B,12.7B,13.2B,13.6B,14.3B,14.6B,14.7B,14.7B,15.2B,15.3B,14.9B,15.1B,15.6B,15.7B,16.2B,16.2B,16.7B,17.1B,17.6B,17.7B,17.5B,17.9B
Chile,,,,,,,,,,,,852M,1.05B,1.18B,1.2B,1.27B,1.28B,1.44B,1.56B,1.67B,1.79B,1.91B,1.96B,1.8B,1.64B,2B,2.33B,2.5B,2.51B,2.47B,4.33B,4.54B,4.95B,5.38B,5.87B,6.3B,7.04B,5.26B,5.73B,5.97B,6.18B,6.91B,7.16B,7.34B,7.83B,8.29B,8.55B,8.9B,8.75B
China,,,,,,,,,,,,4.84B,5.33B,5.83B,5.9B,6.85B,7.1B,7.81B,8.97B,9.86B,10.5B,11.8B,12.1B,13.7B,15.9B,12.3B,14.8B,16.2B,19.4B,22.5B,48.1B,54.4B,64B,73.7B,86.7B,101B,113B,125B,133B,148B,167B,184B,200B,224B,247B,283B,325B,362B,440B
Cote d'Ivoire,,,,,,,,,,,,78M,96M,124M,130M,165M,188M,231M,277M,386M,458M,480M,544M,570M,463M,475M,487M,499M,511M,523M,535M,547M,559M,571M,583M,600M,660M,927M,858M,900M,939M,923M,913M,921M,1.01B,965M,1.08B,1.25B,1.29B
Cameroon,,,,,,,,,,,,44M,72M,79M,85M,95M,108M,122M,142M,164M,179M,193M,232M,249M,261M,310M,302M,330M,330M,334M,317M,319M,340M,348M,295M,289M,321M,350M,395M,400M,387M,387M,457M,496M,548M,518M,803M,778M,1.07B
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,735M,800M,800M,893M,866M,950M,950M,1.06B,1.39B,1.65B,1.7B,1.71B,1.69B,1.58B,957M,1.18B,1.31B,1.51B,1.05B,1.05B,1.01B,1.01B,1.01B,1.07B,1.23B,1.22B,1.23B,1.32B,1.5B,1.56B,2.63B,2.06B,2.04B
"Congo, Rep.",,,,,,,,,,,,37M,39M,43M,47M,52M,58M,58M,60M,63M,67M,43M,103M,72M,147M,91M,239M,173M,146M,144M,141M,170M,165M,143M,141M,149M,163M,134M,104M,67M,117M,132M,142M,145M,155M,179M,192M,213M,220M
Colombia,,,,,,,,,,,,3.38B,3.58B,3.27B,3.12B,4.1B,4.54B,4.73B,5.52B,6.24B,6.85B,6.96B,7.92B,8.25B,8.82B,9.32B,9.87B,10.6B,11B,12B,12.6B,13B,12B,13.2B,14.1B,14.6B,14.8B,14.7B,12.1B,11.6B,11.1B,14.5B,14.4B,15.2B,15.8B,16.3B,16.9B,17.6B,18.1B
