country,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,22.84611276,24.04991811,24.70084499,25.87976402,27.54756126,29.71500179,32.98380701,32.81094488,35.24678268,36.70766913,38.7892474,40.25102855,41.65653279,42.94092378,46.62319718,46.99491981,47.95685757,47.50946965,51.2022015,55.08192649,55.91418532,60.18859187,62.80912751,63.83423757,61.34962164,64.50905907,65.77182652,65.42636969,69.82811781,71.20054463,75.73297157,75.9892632,76.38445968,77.75994483,78.93973422,80.24425786,83.35430311,85.25152445,87.55324404,91.34402781,93.90386623,95.57724449,97.61713507,98.85631715,100.907756,104.5865508,105.4894799,107.1726655,109.1273091,110.37593,111.2072402,110.6721613,110.3091586,110.9460267,108.6089461,107.5646538,109.594639,112.1810947,113.2907827,113.5245488,112.176765
Austria,7.617331732,8.401877559,8.685601811,9.242625777,10.08435039,10.61583906,10.40953937,10.70103607,10.89398787,11.54397933,12.18297124,13.81869552,14.21102073,15.30331819,16.37985956,15.63715768,14.79642565,15.88545754,15.28228089,15.61877286,16.7363745,14.19916551,15.23847101,14.61959105,14.10185207,14.79668892,14.83824692,14.66419699,15.65913133,14.44827948,14.65546694,16.95543142,17.93819135,16.43124141,16.54896811,16.64913738,17.48505999,18.40108873,18.34955752,18.25195055,17.89375594,18.05755674,19.13280567,19.62848312,21.16655348,21.19934242,21.613655,20.98753508,20.26817352,20.08417162,18.42083736,19.6538867,19.07703092,18.34309399,18.48954409,17.49029134,18.09040299,18.31666634,19.00350972,18.20951904,18.69408934
Azerbaijan,5.477317031,5.702839436,5.881069943,6.172364935,6.61921931,7.039345872,7.467441066,7.886089546,8.245965361,8.477491291,8.828602723,9.286198929,9.855342933,10.37027813,10.80958369,11.2226727,11.79815093,12.25253744,12.66955238,13.10467003,13.21311973,13.73332692,13.47325377,13.72750527,13.9236412,14.04833073,15.15026984,15.19074022,15.12988093,15.53476498,15.18902084,14.17771984,13.96443155,15.33381662,13.21319556,11.4491744,9.091770261,8.526915472,8.13453606,8.642328102,7.797606222,8.053034934,7.858264101,8.09002812,8.358824895,8.754951369,9.35764738,10.67374573,8.312870149,9.675382096,8.694495087,8.360504367,8.999917003,9.565601528,9.6109869,10.09149645,10.15244809,10.17422232,9.961229156,10.23154868,10.86792117
Bahamas,0.071,0.112,0.149,0.198,0.193,0.296,0.359,0.298,0.464245748,0.444245748,0.475099764,0.701083543,1.835083543,1.768913228,2.145945669,2.014124094,2.250578268,1.762389739,2.649751231,1.800503292,1.887459746,2.175798284,0.763766359,0.616398859,0.54977447,0.506,0.412,0.385,0.388,0.42,0.531,0.502,0.503,0.505,0.48,0.477,0.475,0.472,0.417,0.521,0.533,0.532,0.51,0.526,0.536,0.538,0.499,0.485,0.49,0.644,0.439,0.652,0.492,0.521,0.787,0.645,0.557,0.49,0.538,0.554041995,0.540160658
Bahrain,0.358,0.157,0.483,0.434,0.326,0.436,0.335,0.177,0.274,0.301,0.347,0.707,0.829,1.004,1.506,1.474,1.569,1.793,2.037,2.118,2.218,2.151,2.325,2.683,2.244,2.511,2.78,3.003,3.117,3.314017192,3.197801814,3.385748131,3.235624749,2.967751617,3.987385874,4.027194631,4.035777144,4.254810703,4.718266539,5.012429658,4.909419571,5.129308582,3.842124849,4.330705837,4.577135665,4.880581422,5.404754622,5.300246777,7.30623687,8.101104494,7.668539689,7.935270619,7.815689466,7.458401893,8.511702216,8.501052816,8.917052816,8.569180248,8.944147409,8.622949587,9.376181154
Bangladesh,0.502185307,0.603685966,0.625111769,0.686887575,0.789640325,0.81184838,0.851884884,0.866898011,0.920071604,1.055039719,1.023287952,1.03798993,0.984124472,0.956856235,1.241728691,1.269946376,1.325524312,1.516319805,1.578807101,1.63330164,1.804760501,2.07347489,2.152327583,2.334137584,2.23479087,2.47738878,2.780882677,3.112935957,3.220446716,3.678610677,3.652388321,3.843318031,4.023233209,4.197496699,4.383760189,4.786534403,5.742781417,5.865742108,6.311722636,6.3314225,6.843753528,7.239228358,8.470248159,8.728378925,9.131801623,9.810304123,10.28290054,11.37804803,11.63813537,12.36377511,13.41377511,14.73568596,15.43568341,16.56422489,16.86179045,18.00728046,19.87844577,20.70344577,21.92244577,23.39487044,27.88255341
Barbados,0.041,0.047,0.053,0.071,0.052,0.049,0.056,0.073,0.092,0.12,0.131,0.117,0.132,0.137,0.131,0.134,0.155,0.145,0.161,0.172,0.164,0.184,0.187,0.176,0.187,0.203990998,0.231002983,0.250017462,0.257033304,0.258043534,0.270066371,0.292076571,0.328091349,0.266094334,0.300039209,0.202055277,0.220055725,0.225091797,0.243160011,0.300252506,0.3172639,0.314299127,0.3237516,0.327393013,0.339865105,0.346484716,0.360030568,0.366484716,0.371938865,0.440028384,0.435902967,0.399565502,0.413668435,0.398333401,0.392562614,0.344570129,0.344562614,0.350618991,0.319562614,0.329458009,0.32385434
Belarus,11.97626809,12.46955208,12.8596714,13.49700138,14.47453198,15.39362606,16.32997291,17.2455872,18.03276321,18.53929054,19.30726868,20.30756158,21.54868424,22.67089365,23.62749514,24.52654474,25.77995822,26.76884181,27.67586472,28.6239881,28.85799441,29.99018817,29.41756558,29.97028076,30.39249785,30.65854767,33.06023154,33.14081925,32.99443903,33.87100975,33.10914974,28.29959361,26.37749052,24.19814764,20.84608348,17.02180282,15.65923873,15.88831862,16.02636238,15.65842461,15.00668591,14.97744495,15.00214828,15.03212261,15.41619924,16.39641608,16.74866233,17.51014141,17.34987126,17.92980848,16.75837846,17.23700651,16.95053081,17.19660094,17.39722854,17.21715045,16.00247276,16.45328892,16.57831185,16.88637442,17.05345997
Belgium,24.10210142,24.81115799,25.29975268,26.75172043,28.84180963,28.26255236,28.74748748,28.68360936,29.3015848,32.32466591,33.70408217,34.24957913,33.12515951,35.65443108,37.83826269,36.83145184,33.24875019,35.39249834,34.44321791,36.96805946,38.15155769,36.80039494,33.72665539,31.96036469,27.62082241,28.64832283,28.38576495,27.93881376,27.99940508,27.2227479,29.14671052,32.83551934,33.6741491,33.43554646,33.14525234,34.06574901,34.37676654,35.34295311,33.84327629,35.54233344,34.03900062,34.58932758,34.41175885,34.62843399,35.00962465,35.15428285,34.29631213,33.81707349,32.88650697,32.80645804,29.40594069,31.26665671,28.6697756,27.95544616,28.02249021,26.42230433,27.56041049,27.23988657,27.14417993,27.34930021,27.21312182
Belize,0.011,0.012,0.01,0.019,0.017,0.023,0.023,0.022,0.033,0.028,0.037,0.033,0.039,0.043,0.04,0.042,0.048,0.048,0.054,0.059,0.057,0.052,0.05,0.047,0.047,0.047,0.052,0.056,0.062,0.068,0.082,0.085,0.111,0.097,0.103,0.102,0.103,0.084,0.106,0.101,0.095,0.108,0.122,0.118,0.118,0.107,0.115,0.121,0.13,0.119,0.141,0.147,0.152,0.123,0.13,0.128,0.175,0.166,0.168,0.167086596,0.172706528
Benin,0.028,0.044,0.035,0.037,0.033,0.039,0.041,0.031,0.039,0.042,0.055,0.077,0.08,0.106,0.104,0.111,0.121,0.071,0.081,0.099,0.1,0.138498622,0.113986263,0.130278394,0.119992066,0.132532639,0.198073212,0.181613785,0.141154358,0.146847882,0.166390418,0.185776078,0.216192496,0.236065335,0.29658391,0.333584818,0.347586971,0.335999021,0.327006526,0.325972775,0.420939024,0.429584418,0.488475028,0.560365638,0.635256249,0.677146859,0.646037469,1.012920953,1.178938531,1.161248202,1.230331253,1.347965184,1.333730366,1.266013391,1.332750781,1.423747071,1.658392747,1.839507858,2.026434626,2.117836414,2.182899839
Bermuda,0.037,0.043,0.048,0.043,0.041,0.055,0.049,0.055,0.058,0.061,0.054,0.062,0.063,0.069,0.116,0.121,0.125,0.128,0.124,0.116,0.126,0.119,0.106,0.108,0.123,0.121,0.123,0.115,0.156,0.176,0.213,0.137,0.147,0.126,0.147,0.145,0.145,0.144,0.143,0.142,0.14,0.141,0.144,0.152,0.153,0.159,0.159,0.178,0.199,0.177,0.13,0.166,0.121,0.1,0.146,0.183,0.147,0.169,0.172,0.177113886,0.172478042
Bhutan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.003,0.006,0.006,0.007,0.009,0.008,0.014,0.017,0.015,0.028,0.03,0.017,0.035,0.048067294,0.056052903,0.047223605,0.054984758,0.064449055,0.077836027,0.102824881,0.100208197,0.101190208,0.104172219,0.100738405,0.109636965,0.098560727,0.079279238,0.103199534,0.10180287,0.101535651,0.109367332,0.100382356,0.12668056,0.182168007,0.210767237,0.232873423,0.258730073,0.263704489,0.31469938,0.343020135,0.453649434,0.465836414
