country,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Canada,50.34971457,52.59720929,52.94778756,56.49311441,57.56298465,64.84108441,68.75463835,70.70807063,76.86600331,82.76783289,83.82074378,93.11605197,96.14767526,103.9264677,104.0569467,106.3332987,108.2895006,108.8826333,111.2913223,113.4021201,120.5368144,120.8562362,117.2484248,113.107641,111.438222,116.0478493,115.0861259,110.4421632,117.6096291,124.3471567,126.314866,126.1237312,123.4974681,127.4665448,127.5672519,131.6693719,135.0764888,139.3931923,143.2284844,145.6440483,149.9872304,156.1577792,154.1884274,155.7982472,160.256045,159.8534656,157.3238166,155.827069,162.1781034,157.0924967,148.0757641,151.6238672,154.6782181,155.4959097,157.2944886,157.1894593,157.1798413,153.9390093,156.3412635,160.0722256,157.3827814
Cape Verde,0.00499189,0.00599189,0.00599189,0.00499189,0.00399189,0.00798378,0.00698378,0.006,0.005,0.00799189,0.00998378,0.00998378,0.00999189,0.01399189,0.01698378,0.018,0.021,0.02,0.022,0.056916546,0.068,0.033,0.009,0.01,0.01,0.023,0.023,0.016,0.022,0.02,0.022,0.026,0.027,0.029,0.03,0.031,0.033,0.039,0.04,0.043,0.05,0.059,0.064,0.075,0.084,0.09,0.12,0.129,0.138,0.128,0.142,0.152,0.168,0.137,0.135,0.133,0.134,0.147,0.158,0.166350688,0.173005024
Central African Republic,0.027,0.024,0.024,0.02,0.02,0.02,0.024,0.023,0.025,0.05,0.051,0.057,0.05,0.046,0.044,0.031,0.028,0.035,0.035,0.04,0.028,0.029,0.037,0.039,0.04,0.041,0.044,0.044,0.071,0.063,0.068,0.054,0.056,0.059,0.061,0.064,0.064,0.064,0.067,0.068,0.072,0.073,0.067,0.067,0.064,0.064,0.064,0.068,0.069,0.069,0.069,0.072,0.076,0.08,0.078,0.079,0.08,0.081,0.081,0.082008127,0.083966321
Chad,0.017,0.015,0.014,0.023,0.025,0.027,0.029,0.023,0.032,0.034,0.044,0.034,0.041,0.033,0.044,0.041,0.05,0.05,0.054,0.053,0.055,0.057,0.057,0.056,0.056,0.059,0.049,0.051,0.054,0.018,0.028,0.103,0.105,0.111,0.11,0.111,0.115,0.119,0.123,0.126,0.13,0.133,0.137,0.139,0.203,0.204,0.209,0.216,0.233,0.253,0.257,0.272,0.305,0.167578066,0.178746211,0.269994744,0.189994744,0.270994744,0.271994744,0.275118693,0.281186677
Chile,3.467075433,3.678075433,3.946026772,4.55987243,4.731710472,4.777605039,4.843694252,5.12349179,5.25063774,5.786637245,6.149418504,6.723745019,7.383995093,7.679407529,7.528939825,7.061844577,6.261915016,6.557162888,6.280630518,6.232645753,6.747384478,6.84785483,6.64163566,5.586019294,5.639833585,6.002466414,5.80772582,6.006770591,6.111908179,7.254319985,8.732300255,8.974403557,8.497982919,8.788849345,9.350286026,10.30023908,11.21451485,12.99902836,15.13380022,15.50416485,16.62316485,15.86073144,14.34947021,14.87180895,14.97930677,16.11557751,16.63403275,17.45950437,19.29774782,19.3282369,17.99123991,19.46772798,21.31108188,21.75321522,22.29573361,21.13067111,22.27979555,22.96772052,22.94272052,23.42497643,22.99853208
China,196.548075,212.603566,150.3707798,119.9077798,118.8639729,118.9147716,129.5525723,142.319574,117.9649446,127.6762126,157.1901395,210.198469,238.5415826,253.5190912,263.549838,268.8551354,311.7090354,325.0449024,356.0051278,397.1772669,405.8714794,398.1677778,393.7724561,428.6212676,451.9133413,491.8987706,532.6891997,560.1097122,597.9948161,640.7651458,651.4424039,660.6958024,692.6937643,724.1244775,773.9616467,821.5727076,891.118167,930.2255979,931.9184734,891.3489685,889.2290199,914.1089034,935.0829136,1032.325136,1215.15019,1398.988651,1575.100557,1740.651751,1872.74854,2012.879341,2117.579631,2320.017111,2562.28145,2629.339329,2673.724587,2680.229316,2642.794954,2607.127878,2661.224339,2717.404073,2776.932615
Colombia,4.390499948,4.473386063,4.966240079,5.300077874,5.794972791,5.917834933,6.238737607,6.406712913,6.737672362,7.252388864,7.646364173,7.74291811,8.264578524,8.576740661,9.17869899,9.932976448,9.773209892,10.36564721,10.7098714,11.33576304,12.08157171,12.05628491,12.0797791,12.46705391,13.43057643,13.29189969,13.12212592,13.30629393,13.68011994,14.1968834,14.40850821,15.52886002,15.46235808,16.78348253,17.28651824,18.228869,16.04131878,16.3130131,17.60276419,17.78321179,14.94575328,15.35448637,15.26716376,15.12838866,15.58239738,14.89335587,16.39181878,16.92263537,16.4243559,18.19051747,19.80259825,20.81834716,20.76413086,21.75959924,24.56026791,24.82322926,23.49102978,27.5110579,25.0190579,25.17145441,27.89368026
Comoros,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.005,0.005,0.005,0.005,0.008,0.008,0.008,0.008,0.008,0.009,0.011,0.011,0.008,0.006,0.013,0.013,0.013,0.013,0.013,0.013,0.012,0.013,0.014,0.014,0.017,0.018,0.018,0.019,0.019,0.02,0.021,0.022,0.024,0.025,0.028,0.028,0.028,0.036,0.039,0.038,0.044,0.028,0.029,0.036,0.044,0.037,0.039,0.048,0.042,0.046,0.055,0.065,0.067119926,0.069081364
Congo,0.051,0.061,0.073,0.065,0.064,0.073,0.067,0.084,0.088,0.123,0.137,0.156,0.187,0.181,0.333,0.443,0.3,0.337,0.131,0.088,0.095,0.110679311,0.128472596,0.366567255,0.311804491,0.311,0.348041422,0.289949031,0.360287117,0.407462178,0.408195209,0.274885681,0.295515794,0.352140907,0.317120907,0.48282568,0.323653185,0.365714146,0.524441349,0.097,0.099,0.154433919,0.209,0.157,0.25,0.259,0.272176871,0.308029031,0.330877438,0.362772816,0.470592004,0.535511961,0.611674893,0.803343203,0.875557132,0.846989797,0.941870394,1.010308219,0.962308219,0.960237263,0.943499023
Cook Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.008,0.008,0.007,0.008,0.018,0.014,0.014,0.006,0.006,0.006,0.006,0.006,0.006,0.01,0.01,0.01,0.011,0.011,0.011,0.013,0.013,0.013,0.013,0.013,0.009,0.006,0.008,0.013,0.015,0.013,0.013,0.013,0.012,0.014,0.016,0.017,0.017,0.018,0.017,0.017,0.019,0.019843334,0.021140854
Costa Rica,0.105,0.134,0.134,0.15,0.164,0.183967559,0.230870236,0.270870236,0.238878346,0.282854016,0.312821575,0.340797244,0.416764803,0.480708031,0.557699921,0.519675591,0.555635039,0.568191816,0.711631772,0.794771568,0.759001668,0.668247989,0.610320162,0.56512598,0.570090808,0.540652155,0.612023679,0.703475497,0.743411908,0.793100906,0.800585437,0.794755762,0.89717924,1.021075177,1.061953899,1.419305081,1.310558239,1.279131145,1.341884449,1.428891775,1.48444222,1.472291608,1.5463751,1.70435487,1.796735718,1.867261448,1.834978048,1.912004539,2.172838854,2.180968379,2.114866715,2.0452288,1.994914231,1.981144715,2.083172509,2.114779101,2.021596381,2.162595329,2.247596381,2.251396925,2.321921582
Côte d'Ivoire,0.149,0.126,0.151,0.16,0.17,0.208,0.32,0.338,0.371,0.436,0.516,0.612,0.67,0.74,0.785,0.885,1.088,1.081,1.106,1.314,1.479,1.52,1.055,1.516,1.233,1.401,1.906,1.522,2.006,2.403,2.256,1.305,1.176,1.049,1.39,1.128,1.669069119,2.002,1.913934538,1.797,1.621045882,1.764,2.019,1.899,1.400947867,2.002,2.046,1.859,1.784,1.799,1.505,1.655,1.731,2.276,2.6,2.658,2.567,3.22,3.237,3.415410796,3.533421177
Croatia,1.417354529,1.548832581,1.624019272,1.666553063,1.854192573,2.102003301,2.164565871,2.145567768,2.168963383,2.320151045,2.406034914,3.146341036,3.389334005,3.173105276,3.794570226,3.809597297,3.973408632,4.100108702,3.985550471,4.455253694,4.846847855,4.764387884,5.178696616,4.756591902,5.122047743,5.401960503,5.510797373,5.756621642,5.619138876,5.799801146,5.781610213,6.36715323,4.68949292,4.504933679,4.628761074,4.425278981,4.619633125,4.780367454,5.069835885,5.261709464,5.490026048,5.375122328,5.678694315,5.980550457,6.350493962,6.254592784,6.367384983,6.421794142,6.780516494,6.448847633,5.960098645,5.745321964,5.644770536,5.216915674,5.036741815,4.832146637,4.869200515,4.941332908,5.1139981,4.835874883,4.880505024
Cuba,4.27531063,3.73556193,3.32104328,3.863140315,3.555107874,3.897107874,3.983115984,4.140115984,4.295,4.372140315,4.706140315,5.091180866,5.346172756,5.670378239,6.106345783,6.245996772,7.378704803,7.418392192,8.009019451,8.356728458,8.633214848,8.543739676,8.90483519,9.394275769,8.3779974,8.852984439,8.844188509,9.108953306,9.206716123,9.661209728,9.692421466,8.934385973,7.887291545,5.736994191,5.400388099,5.809678192,6.98313239,7.334194395,6.689165442,6.647768771,6.873076396,7.080851308,6.913806859,7.086680225,6.920062818,6.786558203,7.054488716,7.185268701,7.03112626,7.572925398,7.646306098,9.256170302,7.961059602,8.057367839,7.573226066,7.485262486,7.92926039,7.64190674,6.858948368,7.119117234,7.092917674
Curaçao,2.838354082,2.440597242,2.547096031,2.797206822,2.679412707,2.605186279,2.337325689,2.185645596,2.692321652,2.503528344,3.276451372,3.664526503,3.189315999,3.092498918,3.430551892,3.109441907,2.251803935,4.810195291,2.512403243,2.139657483,2.244542653,2.309894183,2.200168158,2.459960658,1.264269712,3.157043639,3.695185245,0.708378307,0.62976455,0.620365079,1.180915344,1.264656085,1.009161376,0.831425926,1.283455026,1.23047619,1.21765873,1.139044974,1.19202381,0.065796296,0.493044974,1.30823545,1.332161376,1.284309524,1.285164021,1.348396825,1.336433862,1.392830688,1.568002646,1.508187831,1.543222222,1.062994709,1.356087302,1.615,1.392,1.571,1.706,1.471,1.39,1.438158114,1.418068765
Cyprus,0.226910787,0.241902677,0.235894567,0.246894567,0.268894567,0.272918898,0.313894567,0.338894567,0.371797244,0.442740472,0.455732362,0.464708031,0.514059798,0.656628552,0.683256353,0.526387575,0.543297873,0.678852997,0.736606969,0.776334378,0.831013281,0.889712944,0.844697555,0.861473603,0.859884254,0.882598828,0.858187862,0.983963762,1.14194471,1.145366971,1.208664776,1.270986239,1.404642073,1.507343237,1.57395579,1.640587671,1.605421977,1.701209,1.72517198,1.805308162,1.878403304,1.950294851,1.916324238,1.968007277,2.075750717,2.139994268,2.191948874,2.244316182,2.330490809,2.376433726,2.307259162,2.207699582,2.117758657,1.974588529,1.788854816,1.892628801,1.899598662,2.010979218,2.051224936,2.001299632,1.996651603
Czech Republic,25.35497809,27.04188302,29.35038816,31.27755915,32.90244582,34.24222791,33.36502259,33.1766173,33.10729528,34.63836822,36.77257265,42.1603545,44.22220913,44.62427371,44.80114654,45.31355538,47.40739514,49.24868753,50.71821155,51.17177935,49.82965207,50.40678037,49.85155347,49.36131303,49.42294172,51.08801178,50.38792819,50.73059449,50.12499205,49.29350065,47.02845209,44.81555833,40.63704352,39.4702571,37.83768771,36.12885832,35.91928481,36.83475598,35.68042227,34.20242064,31.82953829,34.67970905,34.64998782,33.81430735,34.76604895,34.96555981,34.29911075,34.51131401,35.00664019,33.55386825,31.43934046,32.06897155,31.40290922,30.28252309,29.04679556,28.39789289,28.60681682,29.10180687,28.83234889,28.49650947,27.56816736
North Korea,5.421874726,6.492477717,7.212502047,8.375380394,8.959210079,9.721120866,12.06935606,12.99124252,14.29913709,16.17603165,17.48891018,20.05357992,29.32669591,24.42819307,26.56259291,27.73239827,29.37329528,30.03025726,31.02215655,29.5340953,30.09361034,31.13596891,31.22132748,31.90286494,34.16024675,36.75262855,39.37901036,42.80439217,47.93085638,54.80571259,58.15270718,33.40610922,31.99416181,28.10114454,25.89206504,23.66798554,22.17792008,19.55182654,17.78336643,16.03952828,17.49437745,18.87719046,19.5592163,18.73441648,19.14205985,19.5747781,20.44724862,20.78952996,17.32511387,19.19435747,14.61936041,13.65274002,9.87566679,10.25272055,7.372985677,8.336323804,6.719627677,7.496348629,5.937224634,10.41564809,10.57919295
Democratic Republic of the Congo,0.736618819,0.632781024,0.642846145,0.592781024,0.625731934,0.538748115,0.67372466,0.655708031,0.624675591,0.918675591,0.99564315,0.739537717,0.807497165,0.823472835,0.870407953,0.91831063,0.88231063,0.929280897,0.948955073,0.962329483,1.020771126,0.951151726,1.02495199,0.831595377,1.091157185,1.073045918,0.985782798,0.913117734,1.041447366,1.085696595,1.187770763,1.159899827,0.854966929,0.766711361,0.726401133,0.463832552,0.574161811,0.630938116,0.511855961,0.451648517,0.359876242,0.243660048,0.209818405,0.231975382,0.283074447,0.313914036,0.394460597,0.423932944,0.46294111,0.494223494,0.462686418,0.535835947,0.665584335,0.642966931,0.96564662,1.263991239,0.761989487,0.544762732,0.601772327,0.608991015,0.623012651
Denmark,7.10546695,8.119410589,8.652256299,10.06819971,11.09932118,11.77590774,12.08880213,13.66768858,13.38057504,14.53948583,16.19612087,16.93212881,15.55935296,16.26470878,16.16315459,15.02224438,15.21413221,16.40347553,16.87154798,16.67462292,17.1882112,16.47049464,14.1300631,14.65169702,13.69194712,13.87986334,16.3931699,16.07702442,15.92400366,15.04132288,13.32088812,14.61592791,17.51348738,15.92829019,16.54144305,17.6500433,16.80721091,20.4230197,17.85741538,16.70290838,15.99870432,14.81351464,15.2470613,15.15484925,16.54304936,15.02884802,14.05441045,16.21643137,14.91339293,13.98006783,13.3243894,13.41492625,12.06253683,10.86888629,11.38906551,10.24217747,9.601934631,10.09516817,9.47657203,9.457267927,8.754228697
Djibouti,0.01,0.011,0.012,0.013,0.018,0.023,0.033,0.038,0.024,0.033,0.023,0.038,0.044,0.052,0.049,0.053,0.054,0.054,0.054,0.055,0.099,0.095,0.082,0.095,0.095,0.096,0.098,0.103,0.106,0.095,0.106,0.088,0.092,0.092,0.092,0.09,0.09,0.091,0.095,0.093,0.093,0.1,0.1,0.109,0.115,0.111,0.113,0.112,0.126,0.136,0.125,0.141,0.129,0.131,0.151621843,0.101884411,0.121661994,0.108661994,0.103661994,0.106434206,0.108999162
Dominica,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.006,0.006,0.005,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.007,0.007,0.009,0.01,0.01,0.011,0.011,0.012,0.013,0.013,0.013,0.015,0.016,0.016,0.016,0.016,0.017,0.018,0.022,0.02,0.022,0.021,0.022,0.028,0.03,0.028,0.032,0.039,0.039,0.039,0.05,0.045,0.044,0.047,0.042,0.045,0.046,0.048,0.048,0.049,0.044,0.045308203,0.04412229
Dominican Republic,0.303789134,0.283813465,0.280741393,0.338732362,0.340748583,0.47666748,0.421765359,0.455691811,0.42765937,0.64064315,0.72357075,0.847456614,0.960343071,1.274253858,1.626359291,1.749334961,1.728351556,1.725532923,1.528089406,1.482075298,1.851961136,1.754096299,1.674465093,1.720383645,2.146723485,2.017048187,1.976403755,2.216446103,2.643910916,2.658230051,2.799646088,2.49772541,2.716326472,2.953695437,3.184273714,3.377945969,4.304411283,4.693683586,4.886618064,4.980488703,5.017446873,5.347618414,5.347649768,5.857647077,5.901382521,4.869684487,4.886493166,5.209250359,5.444965114,5.531936758,5.407657897,5.615291783,5.818577371,5.866196473,5.744999145,5.90766002,6.410465522,6.72190943,6.619827761,6.90644674,7.472380468
Ecuador,0.352829685,0.480781024,0.448756693,0.426764803,0.489716142,0.584683701,0.62064315,0.659586378,0.706570157,0.849521496,0.979496652,1.167635039,1.15159484,1.252464724,1.434464724,1.660358905,2.007343071,2.210861379,2.039356201,2.84018129,3.313445458,3.659161661,4.544978275,5.249759382,5.322764341,5.783161231,5.281844411,4.146851727,4.099959337,4.685752292,5.500466647,4.491748674,4.409875973,5.993346716,6.57406897,3.695005833,6.194844765,6.557173984,4.96862893,6.090268381,5.83106454,5.612060247,6.260765294,6.755769107,7.300172278,7.856398684,8.179615892,7.886098422,9.193519026,8.071245628,8.870803265,9.504750642,10.20687445,10.13994274,10.74286537,11.7925107,11.09166116,10.78195342,10.70895342,11.41320651,11.06448738
Egypt,3.468029213,4.375745354,4.657728646,5.068534488,5.875234409,6.957218189,7.535332086,7.241307402,5.362966772,6.242528819,5.367017132,5.909937459,6.280677932,6.952783283,6.485009764,7.12039855,8.477050315,9.402415367,10.32070541,10.71534007,11.70565117,12.32970191,13.89265396,15.40151951,15.55143997,17.38654804,17.41463779,20.30373855,20.36395214,20.28097112,19.62460756,20.52918106,21.09574436,21.81753824,25.18492991,23.07764365,25.89749783,25.53698267,29.34278976,33.15099857,33.97855068,38.3044767,33.92270066,34.32899836,39.97326857,40.70516266,45.04413612,48.04026151,50.73831566,53.29841986,55.32470132,54.25974508,57.59756217,57.41127918,56.45949684,60.57376339,59.85372391,63.73243387,68.29698173,68.63016182,67.31520674
El Salvador,0.164910787,0.168902677,0.158918898,0.176927008,0.306910787,0.335902677,0.283910787,0.355845906,0.315845906,0.343829685,0.324845906,0.389821575,0.411797244,0.457756693,0.536732362,0.537675591,0.574635039,0.602274284,0.62273128,0.649937869,0.64866852,0.578448096,0.496378572,0.478192773,0.514564571,0.433487756,0.536391453,0.536980397,0.658977068,0.664047066,0.695209007,0.675354182,0.860584106,0.905245106,1.084953899,1.231963979,1.364140229,1.204884227,1.478327644,1.564319645,1.524879405,1.54800198,1.598828536,1.657680225,1.756081271,1.706785759,1.718878758,1.833214779,1.868413665,1.748085325,1.722884643,1.724084341,1.774146793,1.765585297,1.663101101,1.677803247,1.832803247,1.811803247,1.641803247,1.642539538,1.69413094
Equatorial Guinea,0.013,0.006,0.006,0.006,0.007,0.007,0.008,0.007,0.007,0.008,0.012,0.01,0.018,0.024,0.008,0.014,0.017,0.017,0.017,0.019,0.017,0.016,0.019,0.02,0.017,0.022,0.018,0.022,0.027,0.029,0.032,0.017,0.018,0.018,0.019,0.021,0.023,0.035,0.083,0.061,0.101,0.127,1.239,1.687,1.818,2.052,2.051,1.9,1.536,1.915,1.843,1.874,2.424,2.057,2.107,1.994,1.756,1.694,1.632,1.61183942,1.537603195
Eritrea,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.19291284,0.215722896,0.234897839,0.209520452,0.159882839,0.167875339,0.164867838,0.170848534,0.16382923,0.193809926,0.208790622,0.208771318,0.148726728,0.152661759,0.110631089,0.135636802,0.135642888,0.152884764,0.168785265,0.174213856,0.183325741,0.177994744,0.179994744,0.187994744,0.193441324,0.198480709
Estonia,3.452631263,3.593074304,3.702711896,3.882157058,4.161268126,4.423799878,4.691098114,4.952048248,5.173992625,5.315422565,5.533091545,5.818977706,6.174481839,6.495786457,6.768365404,7.023699546,7.382997317,7.66938218,7.930740056,8.200728534,8.271030035,8.600994042,8.429462302,8.592343461,8.714259714,8.793679001,9.49744878,9.52586565,9.497805723,9.7551974,9.535364039,10.07293601,9.252667803,6.651326956,5.161124832,5.385930526,4.925990719,5.119957693,4.999256385,4.589860081,4.272201992,4.16053168,4.251292025,4.118582756,4.62260681,4.694599558,4.618346139,4.423800605,5.414455076,4.8220844,3.913485091,5.126899732,5.146049314,4.826685424,5.336231745,5.118981601,4.31588549,4.742808491,5.086209662,4.833775301,3.790494709
Ethiopia,0.091975669,0.095967559,0.092967559,0.107951339,0.114959798,0.110951339,0.175895163,0.224886457,0.292837795,0.470805354,0.454813054,0.450797244,0.504764803,0.383789134,0.477862126,0.473870236,0.329837795,0.320613685,0.285694787,0.373499278,0.503311879,0.496037932,0.507643818,0.402269021,0.500751647,0.450404319,0.490914371,0.599139269,0.697156322,0.720541981,0.762585628,0.814895112,0.807079713,0.801673575,0.81736272,0.599584818,0.683857197,0.762732816,0.813135765,0.859008262,0.844692411,0.94535677,1.163586866,1.20919435,1.329454773,1.407920227,1.35238179,1.451130167,1.59370813,1.751190177,1.761635899,1.729560656,2.020199465,2.213412099,2.669432353,3.279856323,3.46436716,3.938891312,4.255891312,4.41728966,4.436446654
Faeroe Islands,0.027,0.016,0.031,0.032,0.034,0.033,0.037,0.038,0.046,0.05,0.058,0.07,0.071,0.064,0.069,0.082,0.095,0.09,0.111,0.109,0.131,0.115,0.12,0.125,0.133,0.136,0.141,0.134,0.136,0.144,0.158,0.192,0.179,0.177,0.159,0.157,0.156,0.164,0.161,0.17,0.172,0.188,0.208,0.198,0.2,0.204,0.197,0.185,0.188,0.172,0.157,0.172,0.155,0.161,0.185,0.163,0.166,0.172,0.193,0.192536304,0.195143017
Micronesia (Federated States of),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.028,0.028,0.029,0.031,0.031,0.033,0.033,0.034,0.035,0.039,0.037,0.04,0.039,0.033,0.033,0.036,0.03,0.04,0.028,0.032,0.034,0.037,0.037,0.039,0.039,0.039,0.040731054,0.043394384
Fiji,0.054,0.053,0.046,0.063,0.066,0.115967559,0.093959449,0.087950779,0.096950832,0.107943228,0.117943705,0.141935118,0.149910189,0.157902677,0.171902677,0.182910787,0.169918418,0.131822437,0.208686518,0.193527362,0.228290381,0.216271745,0.293988288,0.227926684,0.193484071,0.157535148,0.156384102,0.163233055,0.128819698,0.15004506,0.170633794,0.219988899,0.180983765,0.20196389,0.202958657,0.201582099,0.205757298,0.221934296,0.213553972,0.207718564,0.211523635,0.227505215,0.285472342,0.240025203,0.282771438,0.365715992,0.295034398,0.327885606,0.311446376,0.239562835,0.212488973,0.327850826,0.291457624,0.284136158,0.359181116,0.44291034,0.581441904,0.550973469,0.555973469,0.579631205,0.616030056
Finland,3.699710472,4.11761315,4.072515462,4.582499934,5.277426614,6.230264409,6.905045433,8.048264409,7.802329291,9.083370022,10.3430211,11.0139317,11.06353184,12.03769854,13.46076173,12.72065205,12.56162402,13.97341345,13.68371184,14.14442341,14.80272766,15.86776466,14.02934033,11.72945512,11.31649744,11.50311069,13.52329284,14.52364043,15.7024209,14.20807414,14.31448348,15.54909232,15.07380024,14.8159188,15.38006361,16.84394165,15.86938949,17.48428201,17.11872064,16.20449129,16.0739001,15.56720719,17.06774181,17.75649333,19.83019127,18.82116672,15.56847658,18.66387084,18.22060671,15.99607493,15.26320011,17.49439174,15.46551639,13.97984352,14.12417013,13.0032378,12.03976903,12.88961451,12.19242997,12.51346872,11.3680685
France,71.58555811,74.06136346,76.79403316,81.5683789,91.21900016,94.30624487,96.10032866,94.87029866,101.6581065,105.1039954,112.9256191,119.9850049,126.4004965,131.4377594,141.2506288,136.4542475,122.2020083,138.2682006,131.5250834,138.3025857,144.7272755,138.1234805,124.3152014,119.5109439,115.6734836,111.1290111,109.8038454,105.6971214,103.585203,102.2053693,107.1893928,109.3823804,116.3459798,113.4015044,107.7455502,106.5704458,108.3809639,112.6799585,110.7669054,116.0148645,114.9888579,113.4960358,114.7508121,113.3927274,115.2499882,115.5206903,116.3789473,113.4390959,110.49029,108.4526241,104.0532409,106.1841783,98.85327732,99.19755602,99.74480329,91.04164842,92.30374877,92.99285796,94.36091249,90.48651099,88.30902549
French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004523909,0.007232467,0.006323344,0.00631828,0.010822657,0.010813976,0.010805295,0.007128913,0.007054296,0.006979679,0.006905062,0.006830446,0.006784951,0.006662483,0.00649263,0.00637942,0.009508117,0.009447462,0.01097338,0.010217475,0.009495329,0.007912774,0.007912774,0.007912774,0.007912774,0.007912774
French Polynesia,0.008,0.01,0.016,0.013,0.018,0.018,0.023,0.033,0.038,0.042,0.044,0.053,0.062,0.059,0.057,0.059,0.058,0.072,0.075,0.085,0.077,0.08,0.09,0.092,0.115,0.126,0.161,0.166,0.167,0.157,0.148,0.12,0.119,0.114,0.117,0.121,0.118,0.119,0.124,0.123,0.136,0.156,0.186,0.187,0.202,0.198,0.214,0.213,0.21,0.217,0.218,0.22,0.212,0.206,0.208,0.202,0.21,0.203,0.204,0.213054743,0.226986011
Gabon,0.006,0.036,0.045,0.024,0.02,0.052,0.059,0.104,0.276,0.535,0.391,0.568,0.776,0.747,1.449,1.487,1.464,1.556710263,1.721206446,2.061916506,1.841364812,1.808037932,1.791493971,1.785921662,1.503435928,1.631949119,1.719034536,1.351190238,1.094291044,1.179231921,1.571360197,1.224180908,1.234160908,1.342140907,1.35776102,1.193919713,1.257167211,1.297407664,1.303006526,1.352971242,1.306499422,1.274527886,1.302666939,1.24017051,1.259055499,1.27094776,1.325832689,1.130572578,1.116085756,1.135927291,1.155250989,1.305214438,1.345792168,1.373716199,1.437965119,1.449871308,1.432551662,1.446088475,1.308105076,1.310894471,1.284097898
Gambia,0.005,0.005,0.006,0.007,0.008,0.008,0.008,0.009,0.009,0.01,0.013,0.013,0.015,0.018,0.017,0.017,0.027,0.027,0.031,0.038,0.04,0.043,0.043,0.044,0.044,0.047,0.047,0.044,0.049,0.05,0.049,0.054,0.054,0.054,0.057,0.057,0.059,0.06,0.061,0.066,0.075,0.075,0.082,0.082,0.082,0.088,0.089,0.096,0.096,0.1,0.104,0.118,0.122,0.124,0.118,0.14,0.143,0.145,0.146,0.153722684,0.159856063
Georgia,2.915191221,3.035274286,3.130246646,3.285399927,3.523350019,3.747071965,3.974996624,4.197878497,4.389505408,4.512814719,4.699762709,4.943276197,5.246643039,5.521117413,5.755361073,5.975669709,6.28247371,6.523814473,6.745229518,6.976266218,7.033418485,7.309729767,7.170692681,7.30549392,7.409189237,7.474838867,8.060650259,8.081338527,8.047807945,8.262413075,8.077595564,7.540671731,5.859988857,4.169474202,2.706411188,1.656396106,0.625384555,1.106746505,1.207735711,1.347880187,1.176239979,1.228004715,1.019034525,0.91467897,1.019516098,1.16709547,1.36926833,1.663790629,1.737111446,1.448754365,1.674373634,1.694621259,2.129841534,2.251929663,2.185793818,2.398237889,2.617013481,2.703382446,2.683382446,2.691641037,2.80749921
Germany,206.2758136,222.1479831,227.8492421,241.039466,258.0507602,264.4425452,262.036637,259.6675744,255.5211293,268.7747853,287.1181309,280.0279217,283.0884517,284.2465907,296.3253959,290.0448525,273.5927639,297.7173962,287.2827799,294.5216245,305.0988339,300.2345659,286.1671966,277.2180273,276.0909377,281.996896,284.9645431,285.8797056,281.7777963,280.8445261,275.3224533,287.2130307,276.8012323,263.6162153,260.9806517,256.449312,256.3255195,261.7696862,254.1566785,251.9857829,244.4440314,245.5731982,250.0999277,245.5843485,245.8696521,242.0758662,236.4597567,239.6281089,232.3644391,233.2713795,215.66477,227.2570238,220.9134688,222.132402,226.8876307,216.344125,217.1987879,218.4798822,214.6982946,206.1578446,191.5816344
Ghana,0.361,0.399,0.367,0.391,0.47,0.45,0.465,0.393,0.408,0.480748583,0.460554903,0.715513386,0.625416063,0.660545827,0.674521496,0.800424173,0.748261969,0.662280897,0.816463635,0.807159068,0.723041502,0.695430803,0.826926553,0.826538041,0.993183747,0.700617434,0.901111887,0.827058867,0.890724665,0.93100416,0.899295948,1.034790223,1.148890776,0.999161631,1.176489293,1.388841613,1.406707517,1.492526538,1.693278056,1.70466504,1.738389338,1.6649962,1.837486979,1.973656903,2.029826827,1.951996751,1.85682882,2.500008047,2.625355166,2.436102784,2.046344974,2.650310976,3.063938555,3.907308905,3.870028384,4.026880853,4.398120792,4.516099451,3.771005203,3.951964436,4.082945513
